 Nom,Nom_bis,Département/Massif,X,Y,EPSG,Alt. ,Denivele,Developpement,Equipement,Temps,debutant,crue,balade,Traversée,Commentaire,url
COLLAVET (grotte),,Vercors,847037.271,2002947.46,27572,1400,-11,112,,,,,,,,
CHEMINEE (grotte de la),HERBOUILLY (grotte d'),Vercors,847047.188,2008529.48,27572,1358,-89,120,,,,,,,,
GOUR FUMANT (faux),,Vercors,847218.874,2007629.48,27572,1270,-163,1883,,,,,,,,
Gour Fumant,,Vercors,847228.93185,2007599.4893,27572,1280,-163,3200,oui,6,,,non,,,
TRISOU (scialet du),REGARD (scialet du),Vercors,847385.055,2009770.5,27572,1370,-273,1388,,,,,,,,
POT DU LOUP (scialet 3 du),RUSSE (scialet du),Vercors,847389.675,2007219.65,27572,1285,-50,,,,,,,,,
POT DU LOUP (scialet 1 du),POT DU LOUP (grand sc. du),Vercors,847409.754,2007179.67,27572,1287,-94,170,oui,4,,,non,,,
BRECHE (grotte de la),CHALIMONT. TENDE n° 3. T 3,Vercors,847469.374,2012921.65,27572,1320,-35,127,,,,,,,,
JEAN BRUNO (scialet),,Vercors,848363.92,2010462.65,,1505,-137,618,,,,,,,,
GOULE NOIRE (résurgence de),,Vercors,848469.221,2013173.55,27572,680,,200,,,,,,,,
Goule Verte,,Vercors,848509.56076,2012993.5645,27572,760,-27,462,non,2,oui,oui,oui,,,
Favot (Grotte),,Vercors,848588.5648,2013553.8787,27572,880,-118,850,oui,6,oui,non,non,,,
MALATERRE (scialet de),,Vercors,848695.591,2009712.86,27572,1418,-230,1600,oui,4h,,non,non,,,
CHASSILLAN (gouffre),,Vercors,848706.981,1992446.11,27572,1530,-85,1187,,,,,,,,
Roche Chalve,,Vercors,848718.55707,2015429.59199999,27572,1440,-125,400,oui,5,oui,,non,,,
FOUR SUPERIEURE (grotte du),,Vercors,848849.937,2012844.14,27572,765,-32,233,,,,,,,,
FENETRE 4 (grotte de la),,Vercors,848849.992,2012814.13,27572,820,-35,100,,,,,,,,
Roche (grotte),,Vercors,849020.33043,2012846.0438,27572,740,84,1758,non,6,oui,non,oui,,,
Envernibard (n°1) (Grotte d'),,Vercors,849272.503,2016986.12,27572,1307,-102,,oui,3,oui,non,non,,,
GAY BUNNY (scialet du),LAPIN PEDE (scialet du),Vercors,849322.443,2017026.22,27572,1304,-400,3100,,,,,,,,
JUJU (scialet),,Vercors,850000.949,2023399.07,27572,1198,-303,2323,,,,,,,,
Trou qui soufle,,Vercors,850104.14676,2021668.8541,27572,1070,670,42900,oui,,,,non,,,
DIABLE (trou du),,Vercors,850225.558,1988126.83,27572,1655,-132,,,,,,,,,
Joufflus (scialet),,Vercors,850284.58854,2010546.0363,27572,1198,-112,,oui,3,oui,oui,non,,,
Saint de Glace,,Vercors,850346.18555,2021997.252,27572,1064,670,49300,oui,,,,non,,,
Goule Blanche,,Vercors,850481.18435,2012436.9963,27572,832,138,1100,oui,4,,oui,non,,,
Fee Anglaise (scialet de la),,Vercors,850584.6113,2010586.59939999,27572,1184,-84,,oui,2,,,non,,,
GRAND CORBEAU (gouffre),ROCHEHERBE (sc.) POPOL (tr.),Vercors,850921.918,1995761.62,27572,1875,-316,,,,,,,,,
Pirate (Traversée du),,,850936.84,2003444.75,,1550,-75,465,15m,0h40,oui,non,,oui,,
Pot 2 (scialet du) /ASV 8-14,,Vercors,851122.607,2000884.1,27572,1740,-319,,,3h45,,non,,,100 plus belles,
ANTRE DES DAMNES (scialet de l'),,Vercors,851188.463,2003155.1,27572,1670,-875,4750,,,,,,,,
PHARAON (scialet du),,Vercors,851210.345,2002134.75,27572,1695,-383,,,,,,,,,
ZAKAPOUET (scialet),,Vercors,851636.667,2001505.29,27572,1855,-625,1155,,,,,,,,
TURE (grotte de la),,Vercors,851774.309,2027213.16,27572,1330,-70,240,,,,,,,,
COMBE DE FER (gouffre de la),,Vercors,851885.647,2004827,27572,1555,-583,3400,,,,,,,,
CLOS DE LA FURE (scialet du),DELTA E 2 (scialet),Vercors,851968.793,2003136.53,27572,1910,-580,4300,,,,,,,,
CINQ SCIALETS (les),HACHOIR A VIANDE,Vercors,852055.986,2004677.26,27572,1650,-655,3790,,,,,,,,
HACHOIR A VIANDE (scialet le),HSW 30 - CINQ SCIALETS,Vercors,852126.62,2004347.27,27572,1790,-655,3790,,,,,,,,
BULLE (scialet de la),DELTA E 8 (scialet),Vercors,852189.023,2003056.9,27572,1950,-396,2274,,,,,,,,
ANTRE DE VENUS (scialet de l'),,Vercors,852450.874,2018342.33,27572,1144,-36,1200,oui ,4,oui,non,non,,,
Sarrasins (scialet des),,Vercors,852946.80969,2004408.81,27572,1865,-448,1600,oui,11,non,,non,,,
AUTRANS (glacière d'),PAS DE LA CLE (glacière du),Vercors,853157.315,2031126.46,27572,1398,-221,2325,oui,6,,non,non,oui,,
MOUSSU (scialet),,Vercors,853402.842,2006640.46,27572,1665,-536,,,,,,,,,
GAMPALOUP (le),,Vercors,853834.63,2021895.8,27572,1323,-251,,,,,,,,,
TRAPANAZE (scialet),,Vercors,854081.834,2007311.96,27572,1700,-320,900,,,,,,,,
Darbon (scialet) / ASV 1-72,,Vercors,854381.286,2007662.64,27572,1730,-340,751,oui,12,,,non,,,
Eymards (Grotte des),,Vercors,854390.85618,2018503.0534,27572,,,,oui,,oui,,non,,,
OURSON (scialet de),FJS 8,Vercors,854404.123,2006142.14,27572,1960,-190,,,,,,,,,
A.G. (scialet de l'),,Vercors,854484.264,2006082.27,27572,1950,-205,500,,,,,,,,
Cernon (Gouffre de),,Jura,854649.18,2162249.23,,,157,6665,Cordes + canot,7h ,,oui,,,100 plus belles,
Mortier (Scialet du),TUNNEL DU MORTIER (scialet sud du),Vercors,854876.597,2031669.76,27572,1390,-396,1460,,,,,,,,
Ours (Grotte de l'),,Vercors,854975.30189,2032370.0662,27572,1400,22,400,non,2,oui,,oui,,,
BRUMES MATINALES (scialet des),,Vercors,855311.922,2007494.31,27572,1775,-848,32700,,,,,,,,
BLIZZARD (scialet du),,Vercors,855362.127,2007394.37,27572,1804,-715,13469,,,,,,,,
NUITS BLANCHES (scialet des),,Vercors,855381.386,2007794.55,27572,1760,-722,3600,,,,,,,,
NYMPHE EMUE (scialet de la),T 45 (scialet),Vercors,855384.545,2006103.96,27572,2020,-586,17865,,,,,,,,
BOURRASQUE (scialet de la),,Vercors,855423.774,2006524.18,27572,1885,-707,17865,,,,,,,,
PRE DE L'ACHARD (scialet du),,Vercors,855443.145,2006864.34,27572,1821,-715,13469,,,,,,,,
SILENCE (scialet du),T 61 (scialet),Vercors,855453.037,2006924.38,27572,1840,-715,13469,,,,,,,,
FJS (la grotte du),,Vercors,855657.028,2031511.2,27572,1390,151,720,,,,,,,,
AGNES (grotte),,Vercors,855713.41,2005567.99,,,-1066,42000,,,,,,,,
DEUX SOEURS (grotte des),JEANNE D'ARC (grotte),Vercors,855825.431,2005714.64,27572,1880,707,17865,,,,,,,,
OREADE (grotte de l'),,Vercors,856035.132,2005915.11,27572,2017,-707,17865,,,,,,,,
A 2 (scialet),,Vercors,856511.431,2029252.4,27572,1498,-155,,,,,,,,,
P 2,,Vercors,856511.8262,2029042.361,27572,1505,-282,,oui,8,,oui,non,,,
FROMAGERE (scialet de la),,Vercors,856522.563,2028652.31,27572,1540,-380,,,,,,,,,
A 6 (scialet),,Vercors,856661.458,2029252.68,27572,1485,-219,700,,,,,,,,
CAIRN (scialet du),Voir BERGER (gouffre),Vercors,856690.691,2029662.81,27572,1465,-85,,,,,,,,,
Berger (Gouffre),,Vercors,856690.728389999,2029642.811,27572,1460,-1273,31790,oui,24,,oui,non,,100 plus belles,
