#The data included in this document is from www.refuges.info. The data is made available under CC By-Sa 2.0
id_point;nom;type;altitude;latitude;longitude;état;nombre de place;lien
582;Refuge de la Samblue;cabane non gardée;1475;44.79095;5.88496;Clé à récupérer avant;19;http://www.refuges.info/point/582/cabane-non-gardee/Devoluy-Trieves/Refuge-de-la-Samblue/
2260;Abri du bois du Permay;cabane non gardée;1240;44.81634;5.83994;;0;http://www.refuges.info/point/2260/cabane-non-gardee/Devoluy-Trieves/Abri-du-bois-du-Permay/
3947;Baraque forestière des Mouilles;cabane non gardée;1480;45.38589;6.12383;;0;http://www.refuges.info/point/3947/cabane-non-gardee/Belledonne/Baraque-forestiere-des-Mouilles/
1873;Abri et fontaine du Grand Ferrand;cabane non gardée;1052;44.71433;5.76792;;12;http://www.refuges.info/point/1873/cabane-non-gardee/Devoluy-Trieves/Abri-et-fontaine-du-Grand-Ferrand/
1743;Cabane de l'Aup (Dévoluy);cabane non gardée;1575;44.75346;5.92928;;5;http://www.refuges.info/point/1743/cabane-non-gardee/Devoluy-Trieves/Cabane-de-l-Aup-Devoluy/
220;Chalet du Poste Optique;cabane non gardée;1673;45.43947;6.24392;;6;http://www.refuges.info/point/220/cabane-non-gardee/Belledonne/Chalet-du-Poste-Optique/
681;Cabane de Rochassac;cabane non gardée;1690;44.7847;5.8152;;7;http://www.refuges.info/point/681/cabane-non-gardee/Devoluy-Trieves/Cabane-de-Rochassac/
5387;Abri arête de Prélet;cabane non gardée;2950;46.12339;7.53833;;0;http://www.refuges.info/point/5387/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Abri-arete-de-Prelet/
1725;Cabane de Pierre Baudinard;cabane non gardée;1614;44.73979;5.86483;;6;http://www.refuges.info/point/1725/cabane-non-gardee/Devoluy-Trieves/Cabane-de-Pierre-Baudinard/
4605;Le Plan;cabane non gardée;1170;45.32839;6.12356;;0;http://www.refuges.info/point/4605/cabane-non-gardee/Belledonne/Le-Plan/
2770;Cabane du plan du lai;cabane non gardée;1750;45.41566;6.22679;Fermée;0;http://www.refuges.info/point/2770/cabane-non-gardee/Belledonne/Cabane-du-plan-du-lai/
2597;Refuge Eugenio Sella - Neue Weisstor;cabane non gardée;3029;45.9875249548507;7.91240930557251;Fermée;30;http://www.refuges.info/point/2597/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-Eugenio-Sella---Neue-Weisstor/
6154;Chalets de la la Grande Buffe;cabane non gardée;2000;45.093352943335;6.2482488155365;;0;http://www.refuges.info/point/6154/cabane-non-gardee/Grandes-Rousses---Arves/Chalets-de-la-la-Grande-Buffe/
238;Baraque de la Buffe;cabane non gardée;2010;45.0976;6.24503;;3;http://www.refuges.info/point/238/cabane-non-gardee/Grandes-Rousses---Arves/Baraque-de-la-Buffe/
422;Le Rif-Tort;cabane non gardée;2240;45.07707;6.21214;Fermée;19;http://www.refuges.info/point/422/cabane-non-gardee/Grandes-Rousses---Arves/Le-Rif-Tort/
109;Abri forestier de la Roize;cabane non gardée;1141;45.29981;5.68197;;4;http://www.refuges.info/point/109/cabane-non-gardee/Chartreuse/Abri-forestier-de-la-Roize/
2941;Refuge de la Taverne;cabane non gardée;1420;45.8897;6.3744;;0;http://www.refuges.info/point/2941/cabane-non-gardee/Bornes-Aravis/Refuge-de-la-Taverne/
2652;Ancienne chapelle de Saint-Ours;cabane non gardée;620;45.29668;5.59974;;0;http://www.refuges.info/point/2652/cabane-non-gardee/Vercors/Ancienne-chapelle-de-Saint-Ours/
6444;Habert de la Perrière;cabane non gardée;1630;45.4047;6.1817;;0;http://www.refuges.info/point/6444/cabane-non-gardee/Belledonne/Habert-de-la-Perriere/
135;Refuge ou abri des Férices;cabane non gardée;1920;45.3718;6.1942;;6;http://www.refuges.info/point/135/cabane-non-gardee/Belledonne/Refuge-ou-abri-des-Ferices/
4611;Abri des Prés nouveaux;cabane non gardée;2159;45.15108;6.22675;;0;http://www.refuges.info/point/4611/cabane-non-gardee/Grandes-Rousses---Arves/abri-des-Pres-nouveaux/
4609;Abri de Malpasset;cabane non gardée;1700;45.17969;6.22236;;6;http://www.refuges.info/point/4609/cabane-non-gardee/Grandes-Rousses---Arves/Abri-de-Malpasset/
2388;Refuge Jean-Antoine Carrel;cabane non gardée;3825;45.97304;7.64761;;40;http://www.refuges.info/point/2388/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Refuge-Jean-Antoine-Carrel/
505;Abri de Barbeloup;cabane non gardée;1695;45.44637;6.2251;;8;http://www.refuges.info/point/505/cabane-non-gardee/Belledonne/abri-de-Barbeloup/
4610;Abri Borsa;cabane non gardée;1850;45.16292;6.22397;;0;http://www.refuges.info/point/4610/cabane-non-gardee/Grandes-Rousses---Arves/Abri-Borsa/
2761;Chalet La Bayenna;cabane non gardée;2619;46.10341;7.56928;;2;http://www.refuges.info/point/2761/cabane-non-gardee/Alpes-Pennines-Haut-Valais/Chalet-La-Bayenna/
2767;Cabane de la petite cochette;cabane non gardée;1885;45.19376;6.1384;Détruite;0;http://www.refuges.info/point/2767/cabane-non-gardee/Grandes-Rousses---Arves/Cabane-de-la-petite-cochette/
